id_i,curso,sexo,edad,v01,v02,v03,v04,v05,v06,v07,au1,au2,au3,au4,au5,au6,au7,au8,au9,au10,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,self,dep,adm,zona,prio,comu,poli
47601,1,1,1,2,2,1,2,2,2,1,5,5,1,5,1,5,5,1,1,1,3,2,1,1,2,3,2,3,2,1,3,3,2,1,1,2,1,2,50,7,1,4,0.16442451420029897,115,2
47602,1,1,1,2,2,1,2,2,2,2,5,5,1,5,2,4,4,2,2,1,2,2,1,2,2,1,2,3,3,1,2,3,3,1,1,3,1,2,45,9,1,4,0.16442451420029897,115,2
47603,1,2,1,2,2,1,2,2,1,2,4,5,1,5,1,5,5,2,1,1,2,2,1,2,2,3,3,3,3,1,3,3,3,2,1,3,1,2,48,6,1,4,0.16442451420029897,115,2
47604,1,1,2,1,NA,2,2,2,1,2,3,2,3,2,2,2,1,5,4,4,2,2,2,1,1,2,1,3,1,1,2,2,2,1,2,2,2,3,22,18,1,4,0.16442451420029897,115,2
47605,1,1,1,2,2,2,2,2,2,2,4,4,1,5,2,5,4,4,2,1,2,2,1,1,3,2,2,3,2,1,2,2,3,2,1,2,1,2,42,10,1,4,0.16442451420029897,115,2
47606,1,2,1,2,2,2,2,2,1,1,4,4,2,3,4,4,3,3,2,3,3,1,1,1,2,2,2,3,3,1,2,2,2,1,1,3,1,2,34,7,1,4,0.16442451420029897,115,2
47607,1,1,2,1,2,1,2,2,1,2,5,5,2,4,1,5,5,5,2,2,3,2,1,1,3,3,2,3,1,1,2,2,3,1,1,3,1,1,42,6,1,4,0.16442451420029897,115,2
47608,2,1,2,1,2,2,2,2,1,2,5,5,2,5,1,5,5,2,2,3,1,2,1,1,3,3,3,3,3,1,3,3,3,1,1,3,1,2,45,4,1,4,0.16442451420029897,115,2
47609,2,2,2,2,2,1,1,2,1,1,5,5,3,5,1,5,5,1,1,1,3,3,2,2,2,1,3,2,3,1,2,1,1,2,2,3,2,2,48,17,1,4,0.16442451420029897,115,1
47610,2,1,3,1,2,2,2,2,2,2,5,5,2,4,1,5,5,4,4,4,2,2,2,1,1,2,3,3,2,1,2,3,3,2,2,3,2,2,39,12,1,4,0.16442451420029897,115,2
47611,2,1,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,2,3,3,2,2,2,2,3,2,2,2,2,1,2,2,2,1,2,29,19,1,4,0.16442451420029897,115,2
47612,2,1,2,1,2,1,1,2,1,1,4,4,4,3,3,3,4,5,5,2,2,3,3,2,2,1,2,2,3,1,2,2,2,3,3,2,3,2,29,22,1,4,0.16442451420029897,115,1
47613,2,2,3,1,2,1,2,2,2,2,4,4,2,4,2,4,3,3,2,2,3,1,1,2,2,1,3,2,2,1,2,2,2,1,1,2,1,1,38,10,1,4,0.16442451420029897,115,2
47614,2,2,2,2,1,1,2,2,1,2,4,4,2,3,1,3,5,2,4,2,2,2,1,1,1,3,2,3,3,1,2,3,3,1,1,2,1,2,38,8,1,4,0.16442451420029897,115,2
47615,3,1,3,2,2,1,2,2,2,2,5,5,3,4,5,3,2,5,4,5,3,2,3,2,1,2,3,3,2,2,2,2,3,1,2,3,2,2,27,14,1,4,0.16442451420029897,115,2
47616,3,1,3,1,2,2,2,2,2,2,5,4,3,4,4,3,4,4,3,4,2,1,1,2,1,2,2,3,3,1,2,3,3,2,2,2,1,2,32,11,1,4,0.16442451420029897,115,2
47617,3,1,3,2,2,2,2,2,2,2,5,5,1,5,1,4,5,1,3,2,2,2,1,2,1,3,2,3,3,1,3,3,3,1,1,2,1,2,46,8,1,4,0.16442451420029897,115,2
47618,3,1,3,2,NA,2,NA,2,1,2,5,5,3,5,1,5,5,1,3,2,3,2,1,1,2,3,3,3,2,1,3,3,3,1,2,3,1,1,45,4,1,4,0.16442451420029897,115,2
47619,3,1,4,2,2,2,2,2,1,2,5,5,1,5,1,4,5,2,2,2,3,2,1,1,2,2,2,3,3,1,3,3,3,1,1,3,1,2,46,5,1,4,0.16442451420029897,115,2
47620,3,1,3,2,2,1,2,2,1,2,4,4,2,5,2,4,3,3,2,1,2,3,2,2,1,2,2,3,2,1,3,2,2,1,3,2,3,3,40,19,1,4,0.16442451420029897,115,2
47621,3,1,3,2,2,1,2,2,1,2,3,4,4,4,5,2,2,2,4,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,NA,1,2,3,28,NA,1,4,0.16442451420029897,115,2
47622,4,2,4,1,1,1,1,2,1,2,5,5,1,5,1,5,5,1,1,1,2,1,1,1,2,3,3,3,3,1,3,3,3,1,1,3,1,1,50,2,1,4,0.16442451420029897,115,2
47623,4,1,4,2,1,1,1,1,1,2,2,2,4,3,4,1,3,4,4,4,2,2,3,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,21,19,1,4,0.16442451420029897,115,1
47624,4,2,5,1,2,1,1,2,1,2,4,4,2,4,2,4,4,4,3,4,2,1,1,1,2,2,2,3,2,1,2,2,2,1,1,3,1,2,35,9,1,4,0.16442451420029897,115,2
47625,4,2,6,2,2,1,2,2,1,2,4,4,1,4,3,4,4,3,2,2,2,1,1,2,2,2,2,3,2,1,2,2,2,1,1,2,1,2,39,11,1,4,0.16442451420029897,115,2
47626,4,2,4,1,2,1,2,2,1,2,4,4,2,5,2,4,2,3,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,39,10,1,4,0.16442451420029897,115,2
47627,4,1,5,1,2,2,2,2,1,2,5,5,1,5,1,5,5,3,1,1,3,1,1,1,3,3,3,3,2,1,3,3,2,1,1,3,1,1,48,2,1,4,0.16442451420029897,115,1
47628,4,1,4,2,2,2,2,2,2,2,5,5,3,5,2,5,5,4,4,4,3,3,2,1,2,3,2,3,2,1,2,2,2,2,2,3,2,2,38,13,1,4,0.16442451420029897,115,2
47630,5,2,5,1,2,1,2,2,1,1,5,4,3,4,2,3,4,5,4,2,2,2,2,1,3,1,1,3,3,1,2,2,2,1,1,3,1,2,34,11,1,4,0.16442451420029897,115,2
47631,5,2,6,1,2,1,2,1,1,1,3,4,5,4,4,3,3,2,5,5,2,2,2,2,2,3,2,3,2,2,2,2,3,3,3,2,2,3,26,18,1,4,0.16442451420029897,115,2
47632,5,1,6,1,2,2,1,2,1,2,4,4,4,3,5,2,3,5,2,4,1,3,3,2,1,1,2,2,1,3,2,1,1,3,3,1,3,3,26,32,1,4,0.16442451420029897,115,1
47633,5,2,5,2,2,2,2,2,1,2,5,5,1,5,1,5,5,5,1,1,2,1,1,1,3,2,3,3,3,1,3,3,3,1,1,3,1,1,46,2,1,4,0.16442451420029897,115,2
47634,5,2,6,2,2,2,2,2,2,2,4,5,3,4,3,2,1,4,2,3,2,2,2,2,2,2,2,3,3,1,2,1,2,2,1,2,2,2,31,15,1,4,0.16442451420029897,115,2
47635,5,1,5,1,2,1,1,2,1,2,4,4,1,4,4,5,5,1,2,1,2,2,1,3,3,2,2,3,3,1,2,1,3,3,2,1,2,2,43,16,1,4,0.16442451420029897,115,2
47636,5,1,6,1,2,2,2,2,2,2,4,5,2,4,2,4,3,4,4,4,2,2,1,2,3,1,2,3,3,1,2,2,2,2,2,3,1,2,34,12,1,4,0.16442451420029897,115,2
13401,1,2,NA,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.5790754257907542,117,NA
13402,1,1,2,1,1,1,2,2,1,1,1,1,5,2,5,1,1,3,5,5,1,2,2,2,2,3,2,3,2,3,1,1,1,3,2,1,3,3,13,25,1,1,0.5790754257907542,117,1
13403,1,1,1,2,2,1,2,2,1,1,5,4,2,5,NA,4,4,3,1,2,2,2,2,2,2,3,3,3,3,1,2,3,3,2,1,2,1,2,NA,9,1,1,0.5790754257907542,117,2
